Shipment_ID,Origin_Hub,Destination_City,Courier_Partner,Distance_KM,Expected_Days,Actual_Days,Shipping_Cost_SAR,Weight_KG,Delivery_Status,Is_Delayed
KSA-LOG-1000,Riyadh Central Hub,Khobar,SAL Express,444,2,2,158.77,39.3,On-Time,0
KSA-LOG-1001,Madinah Distribution Center,NEOM,Aramex KSA,1053,3,3,163.56,21.73,On-Time,0
KSA-LOG-1002,Dammam Logistics Gateway,Tabuk,SMSA Express,1388,4,4,162.17,10.45,On-Time,0
KSA-LOG-1003,Dammam Logistics Gateway,Dammam,SMSA Express,1123,3,3,179.72,25.95,On-Time,0
KSA-LOG-1004,Jeddah Port Hub,Khobar,SAL Express,781,2,2,179.83,36.94,On-Time,0
KSA-LOG-1005,Jeddah Port Hub,Madinah,Aramex KSA,1200,3,3,176.25,22.1,On-Time,0
KSA-LOG-1006,Jeddah Port Hub,Riyadh,SPL (Saudi Post),882,3,3,179.33,33.51,On-Time,0
KSA-LOG-1007,NEOM Supply Hub,Khobar,SAL Express,470,2,2,75.53,5.17,On-Time,0
KSA-LOG-1008,Dammam Logistics Gateway,Madinah,SAL Express,1062,3,3,203.79,37.53,On-Time,0
KSA-LOG-1009,Dammam Logistics Gateway,Tabuk,SAL Express,586,2,2,173.7,40.73,On-Time,0
KSA-LOG-1010,Jeddah Port Hub,Tabuk,Aramex KSA,930,3,3,188.12,35.49,On-Time,0
KSA-LOG-1011,Madinah Distribution Center,Riyadh,Aramex KSA,1226,4,4,244.03,48.38,On-Time,0
KSA-LOG-1012,NEOM Supply Hub,Jeddah,SMSA Express,875,3,3,198.55,41.42,On-Time,0
KSA-LOG-1013,Jeddah Port Hub,Riyadh,SAL Express,180,1,4,152.4,45.2,Delayed - Warehouse,1
KSA-LOG-1014,Jeddah Port Hub,NEOM,SMSA Express,486,2,5,180.66,46.71,Delayed - Customs,1
KSA-LOG-1015,Jeddah Port Hub,Khobar,SMSA Express,332,1,1,151.99,40.17,On-Time,0
KSA-LOG-1016,Riyadh Central Hub,Dammam,SMSA Express,1196,3,3,205.38,33.88,On-Time,0
KSA-LOG-1017,Riyadh Central Hub,Jeddah,SPL (Saudi Post),693,2,3,82.39,0.78,Delayed - Weather,1
KSA-LOG-1018,Riyadh Central Hub,Riyadh,SAL Express,1247,4,4,183.66,23.56,On-Time,0
KSA-LOG-1019,Jeddah Port Hub,Madinah,Aramex KSA,1183,3,4,191.56,28.77,Delayed - Weather,1
KSA-LOG-1020,Dammam Logistics Gateway,Jeddah,SMSA Express,809,3,5,128.6,15.55,Delayed - Traffic/Route,1
KSA-LOG-1021,Jeddah Port Hub,Khobar,SMSA Express,309,1,1,90.34,16.25,On-Time,0
KSA-LOG-1022,Jeddah Port Hub,Jeddah,Aramex KSA,1187,3,5,240.16,48.08,Delayed - Traffic/Route,1
KSA-LOG-1023,Riyadh Central Hub,Khobar,Aramex KSA,1351,4,7,244.68,44.64,Delayed - Traffic/Route,1
KSA-LOG-1024,Riyadh Central Hub,Riyadh,SPL (Saudi Post),561,2,2,176.2,42.53,On-Time,0
KSA-LOG-1025,NEOM Supply Hub,Khobar,SAL Express,1161,3,3,169.38,20.6,On-Time,0
KSA-LOG-1026,Jeddah Port Hub,Jeddah,SAL Express,202,1,1,44.11,1.18,On-Time,0
KSA-LOG-1027,Riyadh Central Hub,Madinah,Aramex KSA,557,2,2,80.74,4.47,On-Time,0
KSA-LOG-1028,Dammam Logistics Gateway,Tabuk,SMSA Express,996,3,3,144.56,15.95,On-Time,0
KSA-LOG-1029,Jeddah Port Hub,Jeddah,SAL Express,1195,3,5,123.8,1.28,Delayed - Warehouse,1
KSA-LOG-1030,Dammam Logistics Gateway,Khobar,SAL Express,1203,4,4,124.62,1.35,On-Time,0
KSA-LOG-1031,Jeddah Port Hub,Tabuk,SAL Express,852,3,5,207.83,45.87,Delayed - Customs,1
KSA-LOG-1032,Jeddah Port Hub,Khobar,SPL (Saudi Post),409,2,2,146.34,35.45,On-Time,0
KSA-LOG-1033,Madinah Distribution Center,Madinah,SAL Express,1378,4,4,174.72,15.79,On-Time,0
